transaction_id,timestamp,product_id,category,price,quantity,customer_id,location,payment_method,shipping_cost
TXN1001,2023-11-01 10:00:00,P101,Electronics,500.00,1,CUST001,New York,Credit Card,10.00
TXN1002,2023-11-01 10:15:00,P102,Books,25.00,2,CUST002,London,PayPal,5.00
TXN1003,2023-3-01 10:30:00,P103,Clothing,75.00,1,CUST003,Paris,Credit Card,7.50
TXN1004,2023-11-01 10:45:00,P104,Home Goods,120.00,1,CUST004,Tokyo,Bank Transfer,15.00
TXN1005,2023-11-01 11:00:00,P101,Electronics,500.00,1,CUST005,New York,Credit Card,10.00
TXN1006,2023-11-01 11:15:00,P105,Books,15.00,3,CUST006,London,PayPal,5.00
TXN1007,2023-11-01 11:30:00,P106,Clothing,45.00,2,CUST007,Paris,Credit Card,7.50
TXN1008,2023-11-01 11:45:00,P107,Home Goods,80.00,2,CUST008,Tokyo,Bank Transfer,15.00
TXN1009,2023-11-01 12:00:00,P102,Books,25.00,1,CUST009,New York,Credit Card,10.00
TXN1010,2023-11-01 12:15:00,P108,Electronics,800.00,1,CUST010,London,PayPal,5.00
TXN1011,2023-11-01 12:30:00,P103,Clothing,75.00,1,CUST011,Paris,Credit Card,7.50
TXN1012,2023-11-01 12:45:00,P109,Home Goods,55.00,3,CUST012,Tokyo,Bank Transfer,15.00
TXN1013,2023-11-01 13:00:00,P104,Home Goods,120.00,1,CUST013,New York,Credit Card,10.00
TXN1014,2023-11-01 13:15:00,P110,Electronics,1200.00,1,CUST014,London,PayPal,5.00
TXN1015,2023-11-01 13:30:00,P105,Books,15.00,2,CUST015,Paris,Credit Card,7.50
TXN1016,2023-11-01 13:45:00,P111,Clothing,30.00,4,CUST016,Tokyo,Bank Transfer,15.00
TXN1017,2023-11-01 14:00:00,P106,Clothing,45.00,1,CUST017,New York,Credit Card,10.00
TXN1018,2023-11-01 14:15:00,P112,Electronics,250.00,2,CUST018,London,PayPal,5.00
TXN1019,2023-11-01 14:30:00,P107,Home Goods,80.00,1,CUST019,Paris,Credit Card,7.50
TXN1020,2023-11-01 14:45:00,P113,Books,30.00,1,CUST020,Tokyo,Bank Transfer,15.00
TXN1021,2023-11-02 09:00:00,P108,Electronics,800.00,1,CUST021,New York,Credit Card,10.00
TXN1022,2023-11-02 09:15:00,P109,Home Goods,55.00,2,CUST022,London,PayPal,5.00
TXN1023,2023-11-02 09:30:00,P110,Electronics,1200.00,1,CUST023,Paris,Credit Card,7.50
TXN1024,2023-11-02 09:45:00,P111,Clothing,30.00,3,CUST024,Tokyo,Bank Transfer,15.00
TXN1025,2023-11-02 10:00:00,P112,Electronics,250.00,1,CUST025,New York,Credit Card,10.00
TXN1026,2023-11-02 10:15:00,P113,Books,30.00,2,CUST026,London,PayPal,5.00
TXN1027,2023-11-02 10:30:00,P101,Electronics,500.00,1,CUST027,Paris,Credit Card,7.50
TXN1028,2023-11-02 10:45:00,P102,Books,25.00,3,CUST028,Tokyo,Bank Transfer,15.00
TXN1029,2023-11-02 11:00:00,P103,Clothing,75.00,2,CUST029,New York,Credit Card,10.00
TXN1030,2023-11-02 11:15:00,P104,Home Goods,120.00,1,CUST030,London,PayPal,5.00
TXN1031,2023-11-03 14:00:00,P105,Books,15.00,4,CUST031,Paris,Credit Card,7.50
TXN1032,2023-11-03 14:15:00,P106,Clothing,45.00,2,CUST032,Tokyo,Bank Transfer,15.00
TXN1033,2023-11-03 14:30:00,P107,Home Goods,80.00,1,CUST033,New York,Credit Card,10.00
TXN1034,2023-11-03 14:45:00,P108,Electronics,800.00,1,CUST034,London,PayPal,5.00
TXN1035,2023-11-03 15:00:00,P109,Home Goods,55.00,2,CUST035,Paris,Credit Card,7.50
TXN1036,2023-11-03 15:15:00,P110,Electronics,1200.00,1,CUST036,Tokyo,Bank Transfer,15.00
TXN1037,2023-11-03 15:30:00,P111,Clothing,30.00,3,CUST037,New York,Credit Card,10.00
TXN1038,2023-11-03 15:45:00,P112,Electronics,250.00,2,CUST038,London,PayPal,5.00
TXN1039,2023-11-03 16:00:00,P113,Books,30.00,1,CUST039,Paris,Credit Card,7.50
TXN1040,2023-11-03 16:15:00,P101,Electronics,500.00,1,CUST040,Tokyo,Bank Transfer,15.00
TXN1041,2023-11-04 11:00:00,P102,Books,25.00,2,CUST041,New York,Credit Card,10.00
TXN1042,2023-11-04 11:15:00,P103,Clothing,75.00,1,CUST042,London,PayPal,5.00
TXN1043,2023-11-04 11:30:00,P104,Home Goods,120.00,1,CUST043,Paris,Credit Card,7.50
TXN1044,2023-11-04 11:45:00,P105,Books,15.00,3,CUST044,Tokyo,Bank Transfer,15.00
TXN1045,2023-11-04 12:00:00,P106,Clothing,45.00,2,CUST045,New York,Credit Card,10.00
TXN1046,2023-11-04 12:15:00,P107,Home Goods,80.00,2,CUST046,London,PayPal,5.00
TXN1047,2023-11-04 12:30:00,P108,Electronics,800.00,1,CUST047,Paris,Credit Card,7.50
TXN1048,2023-11-04 12:45:00,P109,Home Goods,55.00,3,CUST048,Tokyo,Bank Transfer,15.00
TXN1049,2023-11-04 13:00:00,P110,Electronics,1200.00,1,CUST049,New York,Credit Card,10.00
TXN1050,2023-11-04 13:15:00,P111,Clothing,30.00,4,CUST050,London,PayPal,5.00
TXN1051,2023-11-05 16:00:00,P112,Electronics,250.00,2,CUST051,Paris,Credit Card,7.50
TXN1052,2023-11-05 16:15:00,P113,Books,30.00,1,CUST052,Tokyo,Bank Transfer,15.00
TXN1053,2023-11-05 16:30:00,P101,Electronics,500.00,1,CUST053,New York,Credit Card,10.00
TXN1054,2023-11-05 16:45:00,P102,Books,25.00,2,CUST054,London,PayPal,5.00
TXN1055,2023-11-05 17:00:00,P103,Clothing,75.00,1,CUST055,Paris,Credit Card,7.50
TXN1056,2023-11-05 17:15:00,P104,Home Goods,120.00,1,CUST056,Tokyo,Bank Transfer,15.00
TXN1057,2023-11-06 08:00:00,P105,Books,15.00,3,CUST057,New York,Credit Card,10.00
TXN1058,2023-11-06 08:15:00,P106,Clothing,45.00,2,CUST058,London,PayPal,5.00
TXN1059,2023-11-06 08:30:00,P107,Home Goods,80.00,2,CUST059,Paris,Credit Card,7.50
TXN1060,2023-11-06 08:45:00,P108,Electronics,800.00,1,CUST060,Tokyo,Bank Transfer,15.00
TXN1061,2023-11-06 09:00:00,P109,Home Goods,55.00,3,CUST061,New York,Credit Card,10.00
TXN1062,2023-11-06 09:15:00,P110,Electronics,1200.00,1,CUST062,London,PayPal,5.00
TXN1063,2023-11-06 09:30:00,P111,Clothing,30.00,4,CUST063,Paris,Credit Card,7.50
TXN1064,2023-11-06 09:45:00,P112,Electronics,250.00,2,CUST064,Tokyo,Bank Transfer,15.00
TXN1065,2023-11-06 10:00:00,P113,Books,30.00,1,CUST065,New York,Credit Card,10.00
TXN1066,2023-11-07 17:00:00,P101,Electronics,500.00,1,CUST066,London,PayPal,5.00
TXN1067,2023-11-07 17:15:00,P102,Books,25.00,2,CUST067,Paris,Credit Card,7.50
TXN1068,2023-11-07 17:30:00,P103,Clothing,75.00,1,CUST068,Tokyo,Bank Transfer,15.00
TXN1069,2023-11-07 17:45:00,P104,Home Goods,120.00,1,CUST069,New York,Credit Card,10.00
TXN1070,2023-11-07 18:00:00,P105,Books,15.00,3,CUST070,London,PayPal,5.00
TXN1071,2023-11-07 18:15:00,P106,Clothing,45.00,2,CUST071,Paris,Credit Card,7.50
TXN1072,2023-11-07 18:30:00,P107,Home Goods,80.00,2,CUST072,Tokyo,Bank Transfer,15.00
TXN1073,2023-11-07 18:45:00,P108,Electronics,800.00,1,CUST073,New York,Credit Card,10.00
TXN1074,2023-11-07 19:00:00,P109,Home Goods,55.00,3,CUST074,London,PayPal,5.00
TXN1075,2023-11-07 19:15:00,P110,Electronics,1200.00,1,CUST075,Paris,Credit Card,7.50
TXN1076,2023-11-07 19:30:00,P111,Clothing,30.00,4,CUST076,Tokyo,Bank Transfer,15.00
TXN1077,2023-11-07 19:45:00,P112,Electronics,250.00,2,CUST077,New York,Credit Card,10.00
TXN1078,2023-11-07 20:00:00,P113,Books,30.00,1,CUST078,London,PayPal,5.00
TXN1079,2023-11-08 12:00:00,P101,Electronics,500.00,1,CUST079,Paris,Credit Card,7.50
TXN1080,2023-11-08 12:15:00,P102,Books,25.00,2,CUST080,Tokyo,Bank Transfer,15.00
TXN1081,2023-11-08 12:30:00,P103,Clothing,75.00,1,CUST081,New York,Credit Card,10.00
TXN1082,2023-11-08 12:45:00,P104,Home Goods,120.00,1,CUST082,London,PayPal,5.00
TXN1083,2023-11-08 13:00:00,P105,Books,15.00,3,CUST083,Paris,Credit Card,7.50
TXN1084,2023-11-08 13:15:00,P106,Clothing,45.00,2,CUST084,Tokyo,Bank Transfer,15.00
TXN1085,2023-11-08 13:30:00,P107,Home Goods,80.00,2,CUST085,New York,Credit Card,10.00
TXN1086,2023-11-08 13:45:00,P108,Electronics,800.00,1,CUST086,London,PayPal,5.00
TXN1087,2023-11-08 14:00:00,P109,Home Goods,55.00,3,CUST087,Paris,Credit Card,7.50
TXN1088,2023-11-08 14:15:00,P110,Electronics,1200.00,1,CUST088,Tokyo,Bank Transfer,15.00
TXN1089,2023-11-08 14:30:00,P111,Clothing,30.00,4,CUST089,New York,Credit Card,10.00
TXN1090,2023-11-08 14:45:00,P112,Electronics,250.00,2,CUST090,London,PayPal,5.00
TXN1091,2023-11-09 10:00:00,P113,Books,30.00,1,CUST091,Paris,Credit Card,7.50
TXN1092,2023-11-09 10:15:00,P101,Electronics,500.00,1,CUST092,Tokyo,Bank Transfer,15.00
TXN1093,2023-11-09 10:30:00,P102,Books,25.00,2,CUST093,New York,Credit Card,10.00
TXN1094,2023-11-09 10:45:00,P103,Clothing,75.00,1,CUST094,London,PayPal,5.00
TXN1095,2023-11-09 11:00:00,P104,Home Goods,120.00,1,CUST095,Paris,Credit Card,7.50
TXN1096,2023-11-09 11:15:00,P105,Books,15.00,3,CUST096,Tokyo,Bank Transfer,15.00
TXN1097,2023-11-09 11:30:00,P106,Clothing,45.00,2,CUST097,New York,Credit Card,10.00
TXN1098,2023-11-09 11:45:00,P107,Home Goods,80.00,2,CUST098,London,PayPal,5.00
TXN1099,2023-11-09 12:00:00,P108,Electronics,800.00,1,CUST099,Paris,Credit Card,7.50
TXN1100,2023-11-09 12:15:00,P109,Home Goods,55.00,3,CUST100,Tokyo,Bank Transfer,15.00
TXN1101,2023-11-10 18:00:00,P110,Electronics,1200.00,1,CUST101,New York,Credit Card,10.00
TXN1102,2023-11-10 18:15:00,P111,Clothing,30.00,4,CUST102,London,PayPal,5.00
TXN1103,2023-11-10 18:30:00,P112,Electronics,250.00,2,CUST103,Paris,Credit Card,7.50
TXN1104,2023-11-10 18:45:00,P113,Books,30.00,1,CUST104,Tokyo,Bank Transfer,15.00
TXN1105,2023-11-10 19:00:00,P101,Electronics,500.00,1,CUST001,New York,Credit Card,10.00
TXN1106,2023-11-10 19:15:00,P102,Books,25.00,2,CUST002,London,PayPal,5.00
TXN1107,2023-11-10 19:30:00,P103,Clothing,75.00,1,CUST003,Paris,Credit Card,7.50
TXN1108,2023-11-10 19:45:00,P104,Home Goods,120.00,1,CUST004,Tokyo,Bank Transfer,15.00
TXN1109,2023-11-11 09:00:00,P105,Books,15.00,3,CUST005,New York,Credit Card,10.00
TXN1110,2023-11-11 09:15:00,P106,Clothing,45.00,2,CUST006,London,PayPal,5.00
TXN1111,2023-11-11 09:30:00,P107,Home Goods,80.00,2,CUST007,Paris,Credit Card,7.50
TXN1112,2023-12-11 09:45:00,P108,Electronics,800.00,1,CUST008,Tokyo,Bank Transfer,15.00
TXN1113,2023-11-11 10:00:00,P109,Home Goods,55.00,3,CUST009,New York,Credit Card,10.00
TXN1114,2023-11-11 10:15:00,P110,Electronics,1200.00,1,CUST010,London,PayPal,5.00
TXN1115,2023-11-11 10:30:00,P111,Clothing,30.00,4,CUST011,Paris,Credit Card,7.50
TXN1116,2023-11-11 10:45:00,P112,Electronics,250.00,2,CUST012,Tokyo,Bank Transfer,15.00
TXN1117,2023-03-11 11:00:00,P113,Books,30.00,1,CUST013,New York,Credit Card,10.00
TXN1118,2023-11-12 19:00:00,P101,Electronics,500.00,1,CUST014,London,PayPal,5.00
TXN1119,2023-12-12 19:15:00,P102,Books,25.00,2,CUST015,Paris,Credit Card,7.50
TXN1120,2023-11-12 19:30:00,P103,Clothing,75.00,1,CUST016,Tokyo,Bank Transfer,15.00
TXN1121,2023-11-12 19:45:00,P104,Home Goods,120.00,1,CUST017,New York,Credit Card,10.00
TXN1122,2023-11-12 20:00:00,P105,Books,15.00,3,CUST018,London,PayPal,5.00
TXN1123,2023-11-12 20:15:00,P106,Clothing,45.00,2,CUST019,Paris,Credit Card,7.50
TXN1124,2023-12-12 20:30:00,P107,Home Goods,80.00,2,CUST020,Tokyo,Bank Transfer,15.00
TXN1125,2023-11-12 20:45:00,P108,Electronics,800.00,1,CUST021,New York,Credit Card,10.00
TXN1126,2023-03-12 21:00:00,P109,Home Goods,55.00,3,CUST022,London,PayPal,5.00
TXN1127,2023-11-12 21:15:00,P110,Electronics,1200.00,1,CUST023,Paris,Credit Card,7.50
TXN1128,2023-11-12 21:30:00,P111,Clothing,30.00,4,CUST024,Tokyo,Bank Transfer,15.00
TXN1129,2023-11-12 21:45:00,P112,Electronics,250.00,2,CUST025,New York,Credit Card,10.00
TXN1130,2023-11-12 22:00:00,P113,Books,30.00,1,CUST026,London,PayPal,5.00
